  1   4 -100 -100 1   1  32  15 2  22 1    1 2006   86
  1   1 -100 -100 2   2  49  16 2 -90 1    1 2006   87
 21   1 -100 -100 3   1  32  12 2   9 1    2 2006   88
  1   1 -100 -100 1   5  48  17 1   7 1    2 2006   89
  1   1 -100 -100 3   5  33  10 2  19 1    2 2006   90
  1   1 -100 -100 1   2  75  10 2 -90 1    2 2006   91
 20   1 -100 -100 4   1  53  17 1  20 2 -100 2006   92
  5   1 -100 -100 2   1  44  10 1  18 2    1 2006   93
  1   1 -100 -100 3   1  85  13 1  11 2    2 2006   94
  1   1 -100 -100 1   1  58  16 2  25 2    1 2006   95
  1   1 -100 -100 3   1  40  17 2 -90 2    2 2006   96
  1   1 -100 -100 3   1  37  19 1 -90 2    2 2006   97
  1   1 -100 -100 1   5  26  13 2  24 2    2 2006   98
  1   1 -100 -100 4   1  45  16 1 -90 2 -100 2006   99
  1   2 -100 -100 4   1  46   7 1  17 2 -100 2006  100
 21   1 -100 -100 1   5  23   6 2   5 2    2 2006  101
  1   2 -100 -100 4   5  43  14 2  17 2 -100 2006  102
  5   1 -100 -100 2   5  32   3 2  13 2    3 2006  103
  1   2 -100 -100 1   5  29  10 2 -98 2    2 2006  104
  1   2 -100 -100 2   5  20  14 1  18 2    1 2006  105
  1   1 -100 -100 2   1  52  15 1  25 2    2 2006  106
  3   1 -100 -100 3   5  75  17 2  16 2    3 2006  107
  1   1 -100 -100 2   3  60  18 2   4 2    2 2006  108
  7   1 -100 -100 4   1  38  15 2  16 2 -100 2006  109
  1   1 -100 -100 2   1  39  20 1  25 2    2 2006  110
  1   1 -100 -100 1   1  39  18 2  21 2    1 2006  111
  1   4 -100 -100 1   5  29  14 1  15 2    1 2006  112
  1   2 -100 -100 2   5  31  17 1  22 2    1 2006  113
  1   1 -100 -100 3   1  35  17 1  21 2    2 2006  114
  2  16 -100 -100 2   1  20  12 2  14 2    1 2006  115
 22   1 -100 -100 4   1  49   6 2   9 2 -100 2006  116
  1   1    3 -100 2   5  26  18 2   6 2    2 2006  117
  3   1 -100 -100 3   5  37  11 2   6 2    3 2006  118
  4   1 -100 -100 4   2  66  16 2 -98 2 -100 2006  119
  4   1 -100 -100 2   2  67  12 2   1 2    2 2006  120
  4   1 -100 -100 4   2  67   2 2 -98 2 -100 2006  121
 21   1 -100 -100 1   3  37  12 2  12 2    2 2006  122
 40   1 -100 -100 3   5  30  16 2  18 2    2 2006  123
  4   1 -100 -100 4   2  70  13 1 -90 2 -100 2006  124
  4   2 -100 -100 1   2  77  12 1  15 2    3 2006  125
  1   1 -100 -100 4   5  36  12 1  17 2 -100 2006  126
 30   1 -100 -100 4   4  75  13 2  14 2 -100 2006  127
  1   1 -100 -100 4   1  58  12 2  22 2 -100 2006  128
  1   6   10 -100 2   1  42  16 1  23 2    2 2006  129
  1   1 -100 -100 4   1  35  19 2  19 2 -100 2006  130
  1   2 -100 -100 3   4  40  13 1  18 2    2 2006  131
  1   1 -100 -100 3   1  51  14 1  21 2    2 2006  132
  1   1 -100 -100 3   1  54  16 1  24 2    2 2006  133
  1   1 -100 -100 4   3  77  12 2 -90 2 -100 2006  134
  1   1 -100 -100 4   1  44  16 1  23 2 -100 2006  135
  1   1 -100 -100 4   3 -99  18 1  17 2 -100 2006  136
  2   1 -100 -100 1   1  57  12 1  22 2    1 2006  137
  2   1 -100 -100 2   3  44  14 2  22 2    2 2006  138
  1   1 -100 -100 2   1  51  16 1  23 2    2 2006  139
 15  16 -100 -100 4   1  34  16 1  16 2 -100 2006  140
  1   1 -100 -100 3   1  28  16 1  23 2    2 2006  141
  1   1 -100 -100 2   1  58  16 2 -90 2    1 2006  142
  1   4 -100 -100 1   1  35  18 1  23 2    2 2006  143
